X,Y,RCLC1,RCLC2,RCLC3,RCLC4
57,83.48,98.44,98.93,99.32,99.67
56.71,80.71,99.49,100.1,100.48,100.82
56.38,78.84,97.7,98.14,98.53,98.83
56.18,79.64,99.59,100.06,100.48,100.79
56.21,78.04,101.32,101.82,102.24,102.54
55.71,74.82,100.23,100.82,101.32,101.7
55.21,75,100.59,101.16,101.63,102
55.21,75,102.7,103.27,103.73,104.09
55.07,74.46,100.29,100.86,101.33,101.72
55.08,72.67,100.4,101,101.49,101.95
55.43,70.89,100.22,100.8,101.3,101.76
55.61,70.36,99.01,99.6,100.11,100.56
55.93,67.86,99.09,99.69,100.23,100.71
55.54,67.14,100.74,101.29,101.78,102.22
54.82,67.5,101.93,102.45,102.91,103.31
54.61,67.5,99.29,99.85,100.4,100.88
54.48,67.5,97.3,97.84,98.36,98.82
54.41,67.5,99.37,99.86,100.31,100.71
54.36,67.68,94.81,95.26,95.71,96.11
54.29,67.86,94.95,95.36,95.77,96.15
54.21,67.86,93.01,93.4,93.84,94.23
54.04,67.68,93.26,93.63,94.07,94.46
53.57,67.5,93.4,94.17,94.6,94.96
53.21,66.88,95.41,95.92,96.35,96.78
52.82,66.84,91.02,91.54,92.04,92.57
50.71,66.93,91.16,91.71,92.23,92.78
50.27,67.09,90.61,91.17,91.7,92.24
49.73,67.11,92.89,93.46,94.01,94.57
49.82,67.54,94.77,95.32,95.84,96.36
49.46,67.36,95.42,95.96,96.5,97.04
49.75,68.75,94.94,95.51,96.06,96.61
49.82,67.71,96.89,97.38,97.87,98.37
49.66,67.5,96.65,97.13,97.57,98.02
49.68,67.68,98.67,99.14,99.59,100.07
49.46,67.32,96.2,96.7,97.19,97.72
49.46,67.34,95.15,95.62,96.11,96.64
49.68,69.36,97.43,97.85,98.27,98.74
49.57,72.71,98.05,98.49,98.9,99.36
49.64,74.89,95.69,96.11,96.55,97.06
50.36,78.21,97.24,97.6,97.99,98.46
50,79.38,95.93,96.25,96.65,97.12
50.07,79.35,97.5,97.86,98.24,98.68
50.07,77.32,98.14,98.4,98.78,99.22
50.07,71.25,99.13,99.46,99.85,100.25
50.04,71.61,99.87,100.2,100.58,100.94
49.93,70.71,99.2,99.6,100.05,100.48
49.11,70.89,99.59,100.01,100.46,100.88
48.89,70.89,97.4,97.84,98.33,98.82
48.27,70.71,97.44,97.87,98.35,98.82
48.2,70.89,95.7,96.13,96.6,97.08
48.39,70.18,94.89,95.33,95.8,96.27
48.32,70.21,93.79,94.2,94.64,95.08
48.04,70.54,91.93,92.33,92.78,93.24
47.75,70.46,86.63,87.04,87.49,87.96
47.64,70.54,86.88,87.3,87.8,88.29
47.39,70.45,81.31,81.7,82.2,82.7
47.25,70.27,79.3,79.67,80.14,80.61
47.39,70.11,82.89,83.25,83.71,84.14
47.25,69.18,85.72,86.04,86.43,86.82
47.07,67.61,85.38,85.69,86.05,86.44
47,67.31,87.88,88.14,88.47,88.85
46.86,66.34,86.65,86.85,87.18,87.56
47.11,66.02,87.58,87.73,88.05,88.42
47.36,67,82.38,82.51,82.83,83.19
47.36,67.11,82.26,82.41,82.77,83.17
47.39,66.25,84.12,84.42,84.69,85.03
47.32,66.61,85.44,85.74,86.11,86.51
47.32,66.25,85.16,85.53,85.94,86.37
47.32,65.18,85.3,85.64,86.02,86.44
47.36,65,85.37,85.7,86.06,86.45
47.38,65,88.9,89.19,89.5,89.81
47.36,65,88.81,89.16,89.57,89.88
47.29,65,88.93,89.24,89.62,89.94
47.07,65,86.45,86.74,87.13,87.46
46.63,63.75,86.02,86.31,86.7,87.05
46.59,63.48,89.34,89.55,89.86,90.14
46.57,64.29,89.05,89.23,89.49,89.7
46.3,64.55,87.24,87.41,87.68,87.93
46.2,65.89,88.19,88.31,88.46,88.64
46.13,66.88,90.21,90.28,90.39,90.52
46.02,67.86,88.91,89.01,89.16,89.36
46.63,68.66,89.4,89.59,89.81,90.03
46.88,70.89,87.96,88.18,88.44,88.73
47.18,72.95,85.7,85.81,86.03,86.27
48.5,82.68,86.89,86.92,87.17,87.43
50.43,83.39,85.92,86.18,86.46,86.73
50.64,81.79,80.51,80.75,80.99,81.23
48.68,75.18,79.85,80.12,80.4,80.69
